DEPTH_MD,CALI,RHOB,NPHI,DTC,LITHOLOGY
-3.228020294817761,2.763316778248368,-2.4700292056895345,3.323737166365436,2.6536503241229434,1
-3.2277029983132386,2.7410198279621873,-2.433524858518353,3.3826173741650667,2.738361386117228,1
-3.227385701808715,2.740064361738096,-2.380870428640022,3.520484628727349,2.8238594596073585,1
-3.227068405304192,2.7652351809219113,-2.324431980157313,3.5585099120111816,2.8215175041390212,1
-3.2267511087996685,2.7907227458075634,-2.2925404833722096,3.433618045166095,2.734002614052256,1
-3.212472766096125,2.751373824291396,-2.505693865586715,3.7296510692739195,3.0863858458727065,1
-3.2121554695916017,2.7404774758145467,-2.570962754614795,3.3959005390897024,3.0720280521682075,1
-3.2102516905644625,2.8750831634027594,-2.8687450748520593,2.967387457676137,3.0474319537993844,1
-3.2099343940599394,2.838394457168994,-3.0104031150892023,3.0686544051384645,3.1354254104567243,1
-3.1937522723292564,2.8305520146034038,-2.4471526885336887,3.308964404336881,2.9170829661449,1
-3.1934349758247333,2.7811083205887757,-2.513265733767588,2.722239550067111,3.0468508374354655,1
-3.1931176793202103,2.757636274047983,-2.523121039166197,2.7177559688595765,3.056268742190088,1
-3.1921657898066407,2.828486444612813,-2.4551306708267,3.791751438072504,2.986581651086876,1
-3.191848493302117,2.8557661621126287,-2.49941377474259,3.4423781977365704,3.000486316913071,1
-3.1915311967975946,2.8686444119410615,-2.543170716706998,3.154238949044163,3.0167249890070087,1
-3.191213900293071,2.8696118309957255,-2.600451406445121,3.0855531313042674,3.048560003610098,1
-3.1848679702026073,2.8668298482591563,-2.5282734593705185,3.8420012855019072,3.14612479324192,1
-3.184550673698084,2.8597822579599663,-2.5049103707246196,3.762098573569713,3.1482449546561533,1
-3.1842333771935607,2.84563702532419,-2.476316320518193,3.732007592055464,3.141749326709529,1
-3.0931692803954043,1.4755403497157509,-3.518031154501001,2.958805290112854,3.3910634585727677,1
-3.092851983890881,1.4813213312476132,-3.42727793028452,2.878793049157495,3.3384179499815163,1
-3.0839676817642316,1.8144338965627325,-3.3917345936104395,2.651896007083962,3.3220091567632593,1
-3.0836503852597086,1.8361825182859854,-3.385549646072994,2.619650036595063,3.40145598596022,1
-3.083333088755185,1.8541062871010583,-3.364740099069453,2.576783559278001,3.5789207321463223,1
-3.0725450076013967,2.005164071508863,-3.3327943258941555,2.4185843822273023,3.3701082821525583,1
-3.0722277110968736,2.01085167267792,-3.2834992814645787,2.5108496654806607,3.3119584627149323,1
-3.07191041459235,2.015512091422784,-3.169374029131609,2.8117189551877857,3.4685276546112043,1
-2.9316653595930986,2.639558881301345,-4.063455317349427,3.6456645581253615,3.944576636044506,1
-2.9313480630885755,2.5090835863976135,-4.281538906780298,3.409889619482841,3.9684389853747954,1
-2.931030766584052,2.314976783423104,-4.415755981096911,3.231251729858207,4.0166565600006,1
-2.930713470079529,2.1437791312324266,-4.479989788274805,3.1469437504891626,4.120922077165731,1
-2.930396173575006,1.9778772570403744,-4.384893180137165,3.0005540217685076,4.1596366862142595,1
-2.930078877070483,1.7563659807084067,-4.144324501733818,2.8151472221576723,4.246673009730449,1
-2.9167524238805087,0.7232810542784928,-2.3558011475699994,2.068885291921924,3.3157186289243077,1
-2.916435127375985,0.7107912659603313,-2.445079970851906,2.053337883720156,3.3879527756035297,1
-2.6790973419926365,1.4325951701406845,-1.7786329916116395,2.88647543389816,2.997794578384027,0
-2.678780045488113,1.379145465650866,-1.3794924898291425,2.7968372108210375,1.9932562070338458,0
-2.67846274898359,1.2776628544356545,-1.5164093324725758,2.4199110561840955,1.6380099225026623,0
-2.6502233600810254,1.4625687199161783,-1.9161002601012629,3.2051870454892892,2.577450911126673,0
-2.6499060635765024,1.2476863170400152,-1.6833633378421173,3.2096229814936494,2.327931281643635,0
-2.6416563544588993,1.1142508698445148,-2.223071883661673,2.1221211813626826,-1.0399250875449666,0
-2.641339057954376,1.0733245702744696,-1.7854539303360133,2.233652118953816,-1.0559244760410247,0
-2.605167256438732,0.9031597028832551,-1.1994278763895083,2.3175808533106586,1.5896289828957628,0
-2.604849959934209,0.9391248994023695,-1.4993742261074685,1.95958519285916,1.7250887761696838,0
-2.6045326634296857,0.9083299777275368,-2.0489648957374036,1.846000582178792,2.196505519075109,0
-2.550909554165266,1.0425479511021798,-2.1638749204588277,2.2115477390443687,2.8739920960607113,0
-2.5505922576607425,1.0720706608510837,-2.03067313249386,2.505196036938902,2.524514446580841,0
-2.55027496115622,1.1050898990157765,-2.008931948457701,2.5838640796980337,2.1627474929228905,0
-2.5499576646516964,1.1392580866671633,-2.1150619775161816,2.5112576615283797,2.3954135480220904,0
-2.5496403681471733,1.1746290119344822,-2.191408985353705,2.3319483573103437,2.9071348218899153,0
-2.500459409946078,0.8657097613763658,-2.5424466067335714,3.068260100103792,3.501175119923399,0
-2.500142113441555,0.8707683533552996,-2.608958742630728,2.9316036911941867,3.4478459446539005,0
-2.473489207061607,1.100812338622583,-2.3884193088455907,2.386704240458242,3.197163684930896,0
-2.4731719105570833,1.05126742037144,-2.4878063015049006,2.5470091175503096,3.382654359368096,0
-2.4668259804666195,0.9738866121838453,-2.3175906079746973,1.983931910976144,2.3306492538892063,0
-2.4665086839620964,0.9675449760017987,-2.3652362903517576,1.6875415469257116,2.377363159439191,0
-2.466191387457573,0.9612287392909686,-2.381625189068638,1.7335194785430164,3.129870222225806,0
-2.45794167833997,1.065639380006409,-1.7942019985530606,2.6239534423803264,1.565365973120225,0
