PC0,PC1,PC2
5.59819257133074,2.70377370138667,2.6015193110133685
5.650946353030519,2.684461620499307,2.598329118040096
5.775298414343099,2.61597956774664,2.7167744393544466
5.824376477984923,2.552121479643899,2.8311725592286114
5.744583157066928,2.5210599237212157,2.81981002738668
6.253217631144428,2.3697344600002124,3.144150702674266
6.139406828127432,2.318424049218743,3.0614461737755936
5.997089667376748,2.5156474010400705,2.8758346536049437
6.181671939097318,2.4436510514012393,3.0368799464304876
5.965540664294085,2.4197441531707864,3.130058609113679
5.905075890514327,2.251863774491891,3.3176562017367233
5.988551037057293,2.1349774628165443,3.537074652728266
6.261732117389508,2.2748691967246364,3.1278436582067624
6.140906954877547,2.257995479945988,2.9792882626253165
6.0588897303668645,2.2506451635461397,2.969284865547975
6.079563860118659,2.2557986708860724,3.0285939608620436
6.365511209916828,2.3861594549531997,3.1985359947315266
6.366743587517364,2.2822569498678336,3.2474793911093855
6.37878539663655,2.1502751151735366,3.26276900166993
6.634162613301044,1.138569748398963,3.1835352491824027
6.906233551792736,0.3470029499242236,3.053205684155748
6.795634056008019,0.7082299613706252,3.0601144433477634
6.693162609489579,0.941005769219404,3.4056713439180992
6.686830676825013,0.9342320525507443,3.4174635315907107
6.868632201812799,0.8756954230734625,3.5790077478486104
6.762194851540829,1.1116933468698005,3.829866927849224
6.914939890697736,1.0679393347191217,4.063200524930255
6.794856071364143,0.8980088477918362,3.9528942930397997
6.617182879028943,0.9174021952235826,3.5901887010111486
6.404331528813721,0.9687468673902955,3.2344719324926823
6.184400554887033,1.0143806671331566,2.986646919725632
6.061111598101597,1.0711988543603053,2.8175851159881073
6.01266827976357,1.0915507021717474,2.6983816096464874
6.025484978415822,1.1010278251935652,2.6558066968941536
6.030563856821856,1.092683808546815,2.701302674700147
6.082917320681481,0.8878286600236491,2.7790227139823216
6.228499677924468,0.6723419304925514,2.836893988806594
6.78887800276118,0.884718006551137,3.175353060406422
6.850003219722191,1.1276300832525006,3.04503834035886
6.950438611151693,1.2807116262876785,2.809838070827508
6.998486292973668,1.4092307573648866,2.4931008528603287
6.967501294464894,1.4655562439702092,2.225176469577521
6.885192864925685,1.494728190040385,2.1074877564623105
6.634203528759025,1.7244603847088267,2.149303517630756
6.330226386029218,2.087784736940896,2.311302545543052
6.4150341995040225,2.0916217405326223,2.7037386806288373
6.667605873740876,2.1199553599043455,3.064813164959167
6.790819172217333,2.243327866250015,3.04193062877684
6.732623611357884,2.3997855514994977,2.7468196262168907
6.61417819486311,2.522962499998724,2.4801714782137836
6.725519667444471,2.4706828204203637,2.5232099212023367
6.931147901365266,2.2409235269316063,2.6203046222058988
7.164320854348965,2.045617489549135,2.7126958108363866
7.328845622550317,1.949809935132456,2.8502602854814976
7.3243059703780515,1.9342748076395448,2.998213916215805
7.183422105753163,1.926490303220011,3.023600738643343
7.012546604930696,1.9859799338137776,2.8907608046090907
6.973338034220957,2.0511391156179752,2.890045087633381
7.097309303133156,2.000549887645964,3.14115011588815
7.2362430300423375,1.8566943575058303,3.4795503756152772
7.239686072577725,1.773799549266594,3.642183477118118
7.096216557746427,1.7893901725758878,3.4961218061633668
7.014550251957439,1.7192490471364437,3.27248849230322
7.938154556218015,1.4886801542900692,3.776455152645794
7.995709885631452,1.3324002292449106,4.020029730062597
8.009792020296864,1.1976873155500742,4.151947631580045
8.010577939120537,1.11952323459954,4.081033388166639
7.883291546125515,1.0260510193793286,3.9183097064801533
7.744164464623518,0.8135212425245322,3.8979435542729526
5.909281067408132,0.11997352279399857,3.1452373257527895
6.010855496319217,0.046884245901152234,3.2094550897461964
5.6015979376213325,0.6654076327066064,3.0614598954814496
4.824438729695764,0.7029775028806987,2.972730926260052
4.55443859920807,0.5927697591248434,3.138468108647209
5.553271764339917,0.6945831463592427,3.2111105933809942
5.200000841684955,0.7749627491185592,3.0532665422993213
3.6631996514391223,0.0756865412586227,2.1743943467473685
3.5531757480203727,-0.027121052221273024,2.2153241640932344
4.596139115462778,0.12605841454018768,3.528014976982815
4.780965178134137,0.001422743759967465,3.88861171662338
5.212073524081146,-0.08808065039363137,3.7251947175642917
5.359849188184199,0.42703115777039097,2.80539124595473
5.199024926263577,0.5002765851092555,2.984752196979684
5.096486531635499,0.48593433119187474,3.376026676472599
5.376166463216475,0.36677778265419386,3.702898317950903
5.757463488721235,0.16133181401698604,3.8190411435321407
6.363335720099009,-0.005990571539889471,3.143183958319594
6.35046292792841,-0.07923112825600588,3.1509615289862984
6.1627855915381815,-0.22980907442632006,3.6482025685421937
6.350440378026293,-0.29161839953912316,3.546518242105331
5.297743864485662,-0.11245116280178795,2.688896593765846
5.281657440828171,-0.19753360978849918,2.7461131265936665
5.739347725256533,-0.33594268044204084,2.9514279904299983
4.920078982561891,0.18616116091503063,3.089293309497619
4.8711087461389235,0.19395046835580193,3.335957355392355
4.886200988115694,0.07678575380402282,3.2901106330031284
4.978791888229628,-0.03730528728468666,3.105896564105003
5.331517711847075,-0.07945944486663911,3.0885086781385844
5.316129307962696,-0.36328629513915384,3.570877877941177
5.805580420920616,-0.3494294396634991,4.177599561978587
6.320944077708557,-0.33572089216583584,4.071716064194909
6.554880431903911,0.16469897144680853,2.7244632412351075
6.661333510159308,0.1430500163990345,2.6624012906165575
6.676213913923083,0.4359858101879939,3.2288218394729435
6.839213801194915,0.38328180634500847,3.4781433442697853
